loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),label(N)
2019-12-02 22:21:53.972 -0500,1,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575343312.999512,40.44791654041257,-79.94858464679615,307.0017,0.01494712,-1,10,200,-9999,1575343313.94543,14.07998657226562,-24.29621696472168,-18.80313873291016,255.815673828125,265.0704345703125,25,542576.1835011668,0.0587005615234375,-0.5360107421875,-0.8980712890625,542576.1835011668,0.03279602987599879,0.07377036114352192,-0.1706140836553814,542576.1540021667,-269.5454711914062,16.27716064453125,-93.79154968261719,542576.1797331667,0.08367881964490335,0.06077798570191777,0.6276199954738452,-0.03938326984643936,0.410212367773056,-0.1937883198261261,0.02611792832612991,0.02879422903060913,-0.09166407585144043,XArbitraryCorrectedZVertical,0.3070634305477142,0.04178064689040184,0.04913714528083801,0.9495009183883667,0.04916508495807648,-0.5872199535369873,-0.8079328536987305,14.26589965820312,-23.83110618591309,-18.99162292480469,2,542575.3517457917,unknown,2,2019-12-02 22:21:53.166 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,542573.612033,0,-2.111237,97.75204,10.0.0.93,100.77.48.0,1,1,0.14,-18.73122,-36.40281,0
2019-12-02 22:21:54.006 -0500,2,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575343312.999512,40.44791654041257,-79.94858464679615,307.0017,0.01494712,-1,10,200,-9999,1575343313.995183,14.42559814453125,-23.83947944641113,-19.80178833007812,256.1693115234375,265.424072265625,25,542576.2173071667,0.0962982177734375,-0.5967559814453125,-0.838592529296875,542576.2173071667,0.3948242842486074,-0.479876861034141,-0.06927387995903214,542576.2128791667,-269.0673522949219,16.60353088378906,-94.90556335449219,542576.1797331667,0.08367881964490335,0.06077798570191777,0.6276199954738452,-0.03938326984643936,0.410212367773056,-0.1937883198261261,0.02611792832612991,0.02879422903060913,-0.09166407585144043,XArbitraryCorrectedZVertical,0.3070634305477142,0.04178064689040184,0.04913714528083801,0.9495009183883667,0.04916508495807648,-0.5872199535369873,-0.8079328536987305,14.26589965820312,-23.83110618591309,-18.99162292480469,2,542575.3517457917,unknown,2,2019-12-02 22:21:53.166 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,542573.612033,0,-2.111237,97.75204,10.0.0.93,100.77.48.0,1,1,0.14,-18.73122,-36.8824,0
2019-12-02 22:21:54.025 -0500,3,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575343312.999512,40.44791654041257,-79.94858464679615,307.0017,0.01494712,-1,10,200,-9999,1575343313.995183,14.42559814453125,-23.83947944641113,-19.80178833007812,256.1693115234375,265.424072265625,25,542576.2511131667,0.05340576171875,-0.572723388671875,-0.6701202392578125,542576.2511131667,-0.1106591369827545,-0.0376155525007152,-0.06940916854240817,542576.2128791667,-269.0673522949219,16.60353088378906,-94.90556335449219,542576.2148071667,0.08022383020635852,0.05388214412023455,0.634322964815249,0.3447203040122986,-0.4658263623714447,-0.02655696123838425,0.04501114785671234,0.004940629005432129,-0.02780342102050781,XArbitraryCorrectedZVertical,0.3104805648326874,0.0380755327641964,0.04648162797093391,0.9486788511276245,0.04337961971759796,-0.5926322937011719,-0.8043041229248047,14.42559814453125,-23.83947944641113,-19.80178833007812,2,542575.3517457917,unknown,2,2019-12-02 22:21:53.166 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,542573.612033,0,-2.111237,97.75204,10.0.0.93,100.77.48.0,1,1,0.14,-18.73122,-37.1064,0
2019-12-02 22:21:54.073 -0500,4,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575343313.999504,40.44791294403587,-79.94859198652792,306.8395,0.02205717,-1,10,200,-9999,1575343314.045639,14.27239990234375,-23.36521339416504,-20.37759399414062,256.4794311523438,265.7341918945312,25,542576.2849371667,0.0725555419921875,-0.5850372314453125,-0.798828125,542576.2849371667,-0.1846745089465637,0.2786777038397446,0.01763438747406868,542576.2719451668,-269.2337646484375,17.88124084472656,-95.70808410644531,542576.2498631667,0.07512020088180549,0.0465258626995609,0.641894237333837,0.01434890832751989,-0.1236104518175125,-0.09599335491657257,0.01239713281393051,0.03159135580062866,0.1296247839927673,XArbitraryCorrectedZVertical,0.3143287897109985,0.0339004211127758,0.04295696318149567,0.9477356672286987,0.03725205734372139,-0.598713755607605,-0.800096333026886,14.07769775390625,-23.12599182128906,-19.96030426025391,2,542575.3517457917,unknown,2,2019-12-02 22:21:53.166 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,542573.612033,0,-2.111237,97.75204,10.0.0.93,100.77.48.0,1,1,0.14,-18.73122,-33.6415,0
2019-12-02 22:21:54.095 -0500,5,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575343313.999504,40.44791294403587,-79.94859198652792,306.8395,0.02205717,-1,10,200,-9999,1575343314.045639,14.27239990234375,-23.36521339416504,-20.37759399414062,256.4794311523438,265.7341918945312,25,542576.3187431667,0.08544921875,-0.58502197265625,-0.842041015625,542576.3187431667,0.04018337242376959,0.1659530191155247,0.08642303948248838,542576.2719451668,-269.2337646484375,17.88124084472656,-95.70808410644531,542576.2849371667,0.07418070237236997,0.05271231981873564,0.6338189105063301,-0.2266556322574615,0.2614646852016449,0.00114705169107765,0.03229505568742752,0.001482725143432617,-0.009174942970275879,XArbitraryCorrectedZVertical,0.3103803396224976,0.03657543286681175,0.04342985153198242,0.9489153027534485,0.04245443269610405,-0.5922262668609619,-0.8046525716781616,14.44143676757812,-23.18366241455078,-20.39040374755859,2,542575.3517457917,unknown,2,2019-12-02 22:21:53.166 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,542573.612033,0,-2.111237,97.75204,10.0.0.93,100.77.48.0,1,1,0.14,-18.73122,-34.15836,0
2019-12-02 22:21:54.135 -0500,6,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575343313.999504,40.44791294403587,-79.94859198652792,306.8395,0.02205717,-1,10,200,-9999,1575343314.09573,14.75015258789062,-22.42416000366211,-21.24496459960938,256.3076171875,265.5623779296875,25,542576.3525671667,0.0474090576171875,-0.579437255859375,-0.7860870361328125,542576.3525671667,-0.04550170512065783,0.1513953816488245,0.03427967691928194,542576.3306371667,-268.4518432617188,17.54043579101562,-96.12617492675781,542576.3199931667,0.07723953839655118,0.05976041688874222,0.6322431328169883,0.03088302351534367,0.19649738073349,0.0890936553478241,0.03726518526673317,0.00597989559173584,-0.03679227828979492,XArbitraryCorrectedZVertical,0.3094158172607422,0.04037206619977951,0.04596151784062386,0.948957085609436,0.04818027466535568,-0.5909557938575745,-0.805263876914978,14.75015258789062,-22.42416000366211,-21.24496459960938,2,542575.3517457917,unknown,2,2019-12-02 22:21:53.166 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,542573.612033,0,-2.111237,97.75204,10.0.0.93,100.77.48.0,1,1,0.14,-18.73122,-34.65049,0
2019-12-02 22:21:54.165 -0500,7,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575343313.999504,40.44791294403587,-79.94859198652792,306.8395,0.02205717,-1,10,200,-9999,1575343314.145446,15.20523071289062,-22.1883544921875,-21.44614410400391,256.138427734375,265.3931884765625,25,542576.3863731667,0.04254150390625,-0.6028900146484375,-0.8262786865234375,542576.3863731667,-0.02282355685808808,0.0369337832616549,-0.0489523629450735,542576.3895091667,-268.037353515625,18.72271728515625,-97.13511657714844,542576.3550671667,0.07999562351553482,0.06331922058489467,0.6332236890713522,-0.0296882651746273,0.1488828361034393,0.04009467363357544,-0.0117063969373703,0.013133704662323,0.02293819189071655,XArbitraryCorrectedZVertical,0.30974081158638,0.04250060766935349,0.04782821610569954,0.9486658573150635,0.05100905150175095,-0.5917465090751648,-0.8045086264610291,15.11392211914062,-22.0185718536377,-21.78322601318359,2,542575.3517457917,unknown,2,2019-12-02 22:21:53.166 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,542573.612033,0,-2.111237,97.75204,10.0.0.93,100.77.48.0,1,1,0.14,-19.84577,-35.64151,0
2019-12-02 22:21:54.195 -0500,8,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575343313.999504,40.44791294403587,-79.94859198652792,306.8395,0.02205717,-1,10,200,-9999,1575343314.145446,15.20523071289062,-22.1883544921875,-21.44614410400391,256.138427734375,265.3931884765625,25,542576.4201791667,0.042938232421875,-0.601348876953125,-0.8058013916015625,542576.4201791667,-0.05635009182109561,-0.08419184312121999,-0.08179340024349463,542576.3895091667,-268.037353515625,18.72271728515625,-97.13511657714844,542576.3901231667,0.07940189422619938,0.0675130029592533,0.6311050601218642,-0.02329877391457558,0.04674071818590164,-0.04510863125324249,-0.01002240180969238,-0.009495258331298828,-0.01894146203994751,XArbitraryCorrectedZVertical,0.3086471259593964,0.04436900466680527,0.04817511141300201,0.9489191770553589,0.05446697771549225,-0.5900373458862305,-0.805536687374115,15.5328369140625,-21.98417663574219,-21.99480438232422,2,542575.3517457917,unknown,2,2019-12-02 22:21:53.166 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,542573.612033,0,-2.111237,97.75204,10.0.0.93,100.77.48.0,1,1,0.14,-20.40305,-33.24509,0
2019-12-02 22:21:54.254 -0500,9,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575343313.999504,40.44791294403587,-79.94859198652792,306.8395,0.02205717,-1,10,200,-9999,1575343314.245975,15.98605346679688,-21.52242660522461,-22.71991729736328,256.6672668457031,265.9220275878906,25,542576.4540031668,0.026123046875,-0.5948333740234375,-0.80108642578125,542576.4540031668,-0.1002307307862222,0.02840873829620226,-0.1210992610880831,542576.4483901667,-267.82470703125,18.677001953125,-97.57781982421875,542576.4251971667,0.07639059567707988,0.06790329511628342,0.6296290037093236,-0.05628338828682899,-0.07771195471286774,-0.08203256130218506,-0.01526340469717979,-0.006430506706237793,0.004610419273376465,XArbitraryCorrectedZVertical,0.3080034255981445,0.04407041892409325,0.04679149761795998,0.9492113590240479,0.05484040081501007,-0.5888449549674988,-0.8063833713531494,15.69790649414062,-21.80291748046875,-22.25724029541016,2,542575.3517457917,unknown,2,2019-12-02 22:21:53.166 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,542573.612033,0,-2.111237,97.75204,10.0.0.93,100.77.48.0,1,1,0.14,-21.51761,-34.3753,0
2019-12-02 22:21:54.265 -0500,10,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575343313.999504,40.44791294403587,-79.94859198652792,306.8395,0.02205717,-1,10,200,-9999,1575343314.245975,15.98605346679688,-21.52242660522461,-22.71991729736328,256.6672668457031,265.9220275878906,25,542576.4878091667,0.0770721435546875,-0.5737762451171875,-0.8070220947265625,542576.4878091667,-0.2788643914321592,0.1287768881946726,-0.04304893375669486,542576.4483901667,-267.82470703125,18.677001953125,-97.57781982421875,542576.4602531667,0.07198354969070841,0.06995663245787255,0.6265251445248422,-0.1031052619218826,0.04360008984804153,-0.1179801449179649,-0.02215838432312012,-0.01005613803863525,0.01128995418548584,XArbitraryCorrectedZVertical,0.3065789639949799,0.04432990029454231,0.04498172551393509,0.9497477412223816,0.05662354454398155,-0.5863334536552429,-0.8080884218215942,15.68948364257812,-21.28118133544922,-22.62892913818359,2,542575.3517457917,unknown,2,2019-12-02 22:21:53.166 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,542573.612033,0,-2.111237,97.75204,10.0.0.93,100.77.48.0,1,1,0.14,-22.07489,-35.04991,0
