loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),label(N)
2019-12-02 17:05:38.943 -0500,1,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1575324335.244563,40.44701541297952,-79.948173617135,289.1639,-1,-1,11.48794746398926,65,-9999,1575324338.928123,-4.97802734375,9.947299957275391,-22.97299957275391,343.8841552734375,353.1394653320312,30,530852.8396141251,-0.104400634765625,-0.378875732421875,-0.9130096435546875,530852.838364125,-0.1257861582905136,0.06523146774040087,-0.1074897089694512,530852.795452125,-284.7721557617188,48.50234985351562,-107.5990142822266,530852.8233301251,-1.660897255672658,-0.1062269542165606,0.3847227470059941,-0.1288999319076538,0.1426193565130234,0.007166755851358175,0.03037877380847931,-0.01892879605293274,0.03190761804580688,XArbitraryCorrectedZVertical,0.09030685573816299,-0.1760845929384232,-0.7304420471191406,0.6536767482757568,-0.09827695786952972,-0.3753021657466888,-0.9216777682304382,-5.1036376953125,10.12788391113281,-23.22402191162109,2,530846.8585191667,unknown,2,2019-12-02 17:05:32.937 -0500,null,0,0,0,0,0,0,0,null,530849.652638,0,-0.2959595,97.43964,10.0.0.93,100.77.48.0,5,1,0.34,-28.95537,-33.01391,0
2019-12-02 17:05:38.958 -0500,2,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1575324335.244563,40.44701541297952,-79.948173617135,289.1639,-1,-1,11.48794746398926,65,-9999,1575324338.928123,-4.97802734375,9.947299957275391,-22.97299957275391,343.8841552734375,353.1394653320312,30,530852.8734151251,-0.0894012451171875,-0.3516693115234375,-0.9564666748046875,530852.872165125,-0.1648792325640047,-0.05405338169701127,-0.178904237812689,530852.854449125,-284.8225708007812,49.04803466796875,-107.6742706298828,530852.858398125,-1.665729891401253,-0.1021022434686804,0.3800290421095687,-0.1976480633020401,0.01597101241350174,-0.1612900644540787,-0.005747094750404358,0.0005956292152404785,-0.006082832813262939,XArbitraryCorrectedZVertical,0.08982569724321365,-0.1732702553272247,-0.7320829033851624,0.6526587605476379,-0.09465298801660538,-0.3709474503993988,-0.92381751537323,-5.059967041015625,10.27263641357422,-23.06256103515625,2,530846.8585191667,unknown,2,2019-12-02 17:05:32.937 -0500,null,0,0,0,0,0,0,0,null,530849.652638,0,-0.2959595,97.43964,10.0.0.93,100.77.48.0,5,1,0.34,-28.95537,-33.01391,0
2019-12-02 17:05:38.988 -0500,3,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1575324335.244563,40.44701541297952,-79.948173617135,289.1639,-1,-1,11.48794746398926,65,-9999,1575324338.978143,-5.28509521484375,10.39106369018555,-22.77535247802734,344.4117126464844,353.6670227050781,30,530852.907215125,-0.088043212890625,-0.348724365234375,-0.9489593505859375,530852.9059651251,-0.09109449035059637,-0.1078375178078155,-0.1128405322316384,530852.854449125,-284.8225708007812,49.04803466796875,-107.6742706298828,530852.893449125,-1.672093095162138,-0.1019545736445952,0.3756938935388269,-0.0878230482339859,-0.1161996722221375,-0.1122907027602196,0.007813826203346252,0.005415678024291992,-0.04636287689208984,XArbitraryCorrectedZVertical,0.08788734674453735,-0.1719433963298798,-0.7343780398368835,0.6506921052932739,-0.09467934817075729,-0.3669181168079376,-0.9254225492477417,-5.28509521484375,10.39106369018555,-22.77535247802734,2,530846.8585191667,unknown,2,2019-12-02 17:05:32.937 -0500,null,0,0,0,0,0,0,0,null,530849.652638,0,-0.2959595,97.43964,10.0.0.93,100.77.48.0,5,1,0.34,-28.95537,-33.47948,0
2019-12-02 17:05:39.046 -0500,4,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1575324335.244563,40.44701541297952,-79.948173617135,289.1639,-1,-1,11.48794746398926,65,-9999,1575324339.027837,-5.499542236328125,10.49839782714844,-23.16126251220703,344.7507934570312,354.006103515625,30,530852.941033125,-0.1095733642578125,-0.381439208984375,-0.919189453125,530852.9397831251,-0.1631700157763919,-0.2474878264171726,-0.09488496753010615,530852.913437125,-285.0679626464844,49.151611328125,-107.6069641113281,530852.9285161251,-1.676243318411017,-0.1054987835656962,0.372744977695551,-0.1086513847112656,-0.2011265605688095,-0.08019211143255234,0.01383180916309357,-0.01531970500946045,-0.02590250968933105,XArbitraryCorrectedZVertical,0.08524804562330246,-0.1722097098827362,-0.7360332012176514,0.6491008400917053,-0.09807214885950089,-0.3641732931137085,-0.9261531829833984,-5.40234375,10.61412048339844,-23.09019470214844,2,530846.8585191667,unknown,2,2019-12-02 17:05:32.937 -0500,null,0,0,0,0,0,0,0,null,530849.652638,0,-0.2959595,97.43964,10.0.0.93,100.77.48.0,5,1,0.34,-28.95537,-33.59016,0
2019-12-02 17:05:39.058 -0500,5,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1575324335.244563,40.44701541297952,-79.948173617135,289.1639,-1,-1,11.48794746398926,65,-9999,1575324339.027837,-5.499542236328125,10.49839782714844,-23.16126251220703,344.7507934570312,354.006103515625,30,530852.974834125,-0.1340789794921875,-0.3495330810546875,-0.88580322265625,530852.9735841251,-0.2504623110386821,0.006366819218052435,-0.03385250588043323,530852.972445125,-285.4742736816406,49.76918029785156,-107.7197723388672,530852.963567125,-1.679975106421394,-0.1107020461540537,0.3663533644564733,-0.2419252693653107,-0.1106838211417198,-0.05614420771598816,-0.01606766879558563,-0.005472868680953979,0.04747897386550903,XArbitraryCorrectedZVertical,0.0808904692530632,-0.1717391163110733,-0.7377820611000061,0.6477963328361511,-0.1031448617577553,-0.3582131862640381,-0.9279248118400574,-5.6522216796875,10.82759094238281,-23.05229187011719,2,530846.8585191667,unknown,2,2019-12-02 17:05:32.937 -0500,null,0,0,0,0,0,0,0,null,530849.652638,0,-0.2959595,97.43964,10.0.0.93,100.77.48.0,5,1,0.34,-28.95537,-33.59016,0
2019-12-02 17:05:39.107 -0500,6,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1575324335.244563,40.44701541297952,-79.948173617135,289.1639,-1,-1,11.48794746398926,65,-9999,1575324339.078003,-5.634979248046875,11.08608627319336,-23.08860015869141,344.9874267578125,354.2427368164062,30,530853.008651125,-0.0772857666015625,-0.3785247802734375,-0.9377593994140625,530853.007384125,-0.2572720139460147,0.1374721091537813,0.08158487473014144,530852.972445125,-285.4742736816406,49.76918029785156,-107.7197723388672,530852.998634125,-1.681588136945655,-0.1078439756852311,0.3578463183596515,-0.2405702024698257,0.1390550881624222,0.01686527207493782,0.007162250578403473,-0.01971638202667236,0.01037657260894775,XArbitraryCorrectedZVertical,0.07899001985788345,-0.1677935123443604,-0.73860764503479,0.6481239795684814,-0.1008167341351509,-0.3502577841281891,-0.9312118291854858,-5.38250732421875,11.23004531860352,-22.89920806884766,2,530846.8585191667,unknown,2,2019-12-02 17:05:32.937 -0500,null,0,0,0,0,0,0,0,null,530849.652638,0,-0.2959595,97.43964,10.0.0.93,100.77.48.0,5,1,0.34,-28.95537,-34.77087,0
2019-12-02 17:05:39.128 -0500,7,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1575324335.244563,40.44701541297952,-79.948173617135,289.1639,-1,-1,11.48794746398926,65,-9999,1575324339.078003,-5.634979248046875,11.08608627319336,-23.08860015869141,344.9874267578125,354.2427368164062,30,530853.042452125,-0.0873260498046875,-0.3280487060546875,-1.046279907226562,530853.041202125,0.2817720307103077,-0.1549475059107722,0.104963168043293,530853.031442125,-285.206298828125,49.72512817382812,-107.6642761230469,530853.0336851251,-1.677013844981891,-0.1072485344966687,0.354263556962734,0.1282326281070709,-0.05165687948465347,0.1700152009725571,0.03124695271253586,-0.02516540884971619,-0.1118110418319702,XArbitraryCorrectedZVertical,0.07840333878993988,-0.1661211103200912,-0.7372720837593079,0.6501434445381165,-0.1003959178924561,-0.3468997478485107,-0.932513415813446,-5.386474609375,11.08501815795898,-22.96803283691406,2,530846.8585191667,unknown,2,2019-12-02 17:05:32.937 -0500,null,0,0,0,0,0,0,0,null,530850.602586,0,-0.3197327,97.43991,10.0.0.93,100.77.48.0,5,1,0.34,-28.95537,-34.77087,0
2019-12-02 17:05:39.167 -0500,8,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1575324335.244563,40.44701541297952,-79.948173617135,289.1639,-1,-1,11.48794746398926,65,-9999,1575324339.128426,-5.530975341796875,11.25989151000977,-23.00227355957031,344.6873474121094,353.9426574707031,30,530853.0762531667,-0.1127166748046875,-0.360565185546875,-0.9232635498046875,530853.0750031667,0.3343337758807656,-0.1806629893965774,0.1073038203253637,530853.031442125,-285.206298828125,49.72512817382812,-107.6642761230469,530853.0336851251,-1.677013844981891,-0.1072485344966687,0.354263556962734,0.1282326281070709,-0.05165687948465347,0.1700152009725571,0.03124695271253586,-0.02516540884971619,-0.1118110418319702,XArbitraryCorrectedZVertical,0.07840333878993988,-0.1661211103200912,-0.7372720837593079,0.6501434445381165,-0.1003959178924561,-0.3468997478485107,-0.932513415813446,-5.386474609375,11.08501815795898,-22.96803283691406,2,530846.8585191667,unknown,2,2019-12-02 17:05:32.937 -0500,null,0,0,0,0,0,0,0,null,530850.602586,0,-0.3197327,97.43991,10.0.0.93,100.77.48.0,5,1,0.34,-28.95537,-33.14405,0
2019-12-02 17:05:39.198 -0500,9,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1575324335.244563,40.44701541297952,-79.948173617135,289.1639,-1,-1,11.48794746398926,65,-9999,1575324339.178165,-5.718231201171875,10.81462860107422,-23.04076385498047,344.25244140625,353.5077514648438,30,530853.1100701666,-0.1303863525390625,-0.370330810546875,-0.8230438232421875,530853.1088201667,-0.06882167520593668,0.122001273749293,0.001950765498483042,530853.0904551666,-285.6278076171875,49.48197937011719,-107.6183624267578,530853.1038031667,-1.667602297815155,-0.1194739390446274,0.3720505200198776,0.06877560913562775,0.05397868901491165,0.04565609619021416,-0.03707578033208847,0.007684409618377686,0.09559834003448486,XArbitraryCorrectedZVertical,0.08063401281833649,-0.1761437505483627,-0.733838677406311,0.6511162519454956,-0.1110353991389275,-0.3635264337062836,-0.9249430894851685,-5.4912109375,10.64875030517578,-22.97499847412109,2,530846.8585191667,unknown,2,2019-12-02 17:05:32.937 -0500,null,0,0,0,0,0,0,0,null,530850.602586,0,-0.3197327,97.43991,10.0.0.93,100.77.48.0,5,1,0.34,-28.95537,-33.7151,0
2019-12-02 17:05:39.226 -0500,10,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1575324335.244563,40.44701541297952,-79.948173617135,289.1639,-1,-1,11.48794746398926,65,-9999,1575324339.178165,-5.718231201171875,10.81462860107422,-23.04076385498047,344.25244140625,353.5077514648438,30,530853.1426171667,-0.088836669921875,-0.355072021484375,-0.8997955322265625,530853.1413671667,-0.3924474129757117,0.158838650579487,-0.01501410327753972,530853.0904551666,-285.6278076171875,49.48197937011719,-107.6183624267578,530853.1038031667,-1.667602297815155,-0.1194739390446274,0.3720505200198776,0.06877560913562775,0.05397868901491165,0.04565609619021416,-0.03707578033208847,0.007684409618377686,0.09559834003448486,XArbitraryCorrectedZVertical,0.08063401281833649,-0.1761437505483627,-0.733838677406311,0.6511162519454956,-0.1110353991389275,-0.3635264337062836,-0.9249430894851685,-5.4912109375,10.64875030517578,-22.97499847412109,2,530846.8585191667,unknown,2,2019-12-02 17:05:32.937 -0500,null,0,0,0,0,0,0,0,null,530850.602586,0,-0.3197327,97.43991,10.0.0.93,100.77.48.0,5,1,0.34,-28.95537,-34.43553,0
