loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),label(N)
2019-12-02 22:37:14.290 -0500,1,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575344227.980782,40.4470354279192,-79.94832276516273,282.3302,-1,-1,10,65,-9999,1575344234.247429,24.65866088867188,-19.02305793762207,-26.64423370361328,308.942138671875,318.1968994140625,25,543496.50268925,0.0701141357421875,-0.62158203125,-0.7332000732421875,543496.50268925,-0.101132743447432,-0.04751558753697575,-0.007297860335144136,543496.46455225,-258.8628845214844,21.15740966796875,-101.6911163330078,543496.49142125,-0.5067095196186528,0.1211377621734331,0.6564185620474158,-0.02627368085086346,-0.152782216668129,-0.005245053675025702,-0.0176859050989151,-0.009765684604644775,0.02295213937759399,XArbitraryCorrectedZVertical,0.3258484601974487,-0.02517793141305447,-0.2179488986730576,0.9196124672889709,0.09572874754667282,-0.6102836132049561,-0.7863777279853821,24.53897094726562,-18.76188087463379,-27.21759033203125,2,543491.7533448751,unknown,2,2019-12-02 22:37:09.567 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,543493.902951,0,-2.563049,97.75729,10.0.0.93,100.77.48.0,1,1,0.09,-24.09235,-38.36444,0
2019-12-02 22:37:14.307 -0500,2,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575344227.980782,40.4470354279192,-79.94832276516273,282.3302,-1,-1,10,65,-9999,1575344234.297842,24.59585571289062,-18.7147274017334,-26.91399383544922,308.88232421875,318.1370849609375,25,543496.5364932501,0.0969696044921875,-0.6052703857421875,-0.7649383544921875,543496.50268925,-0.101132743447432,-0.04751558753697575,-0.007297860335144136,543496.5234392501,-258.8656921386719,21.95672607421875,-101.8344116210938,543496.52647525,-0.5058187653944647,0.1201341826264909,0.6518413676230166,-0.1916089653968811,0.03531680256128311,0.005732474848628044,-0.01875627040863037,-0.007676362991333008,0.05381298065185547,XArbitraryCorrectedZVertical,0.3236669301986694,-0.02491024136543274,-0.2180123925209045,0.9203748106956482,0.09527328610420227,-0.606651246547699,-0.7892383933067322,24.59585571289062,-18.7147274017334,-26.91399383544922,2,543491.7533448751,unknown,2,2019-12-02 22:37:09.567 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,543493.902951,0,-2.563049,97.75729,10.0.0.93,100.77.48.0,1,1,0.09,-24.64963,-34.38318,0
2019-12-02 22:37:14.347 -0500,3,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575344227.980782,40.4470354279192,-79.94832276516273,282.3302,-1,-1,10,65,-9999,1575344234.297842,24.59585571289062,-18.7147274017334,-26.91399383544922,308.88232421875,318.1370849609375,25,543496.5703145,0.110992431640625,-0.5867919921875,-0.7979278564453125,543496.5703145,-0.1035008262887305,-0.2539561120727571,0.03856283890045638,543496.5234392501,-258.8656921386719,21.95672607421875,-101.8344116210938,543496.5615465001,-0.5026914182618717,0.1155229921553717,0.6460417483889156,-0.136257603764534,-0.1750868111848831,0.06125855073332787,0.02151334285736084,0.01138424873352051,0.001436114311218262,XArbitraryCorrectedZVertical,0.3205608427524567,-0.02579268626868725,-0.2177019268274307,0.9215104579925537,0.09203696250915527,-0.6020305752754211,-0.7931509613990784,24.34771728515625,-19.1235179901123,-27.20522308349609,2,543491.7533448751,unknown,2,2019-12-02 22:37:09.567 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,543493.902951,0,-2.563049,97.75729,10.0.0.93,100.77.48.0,1,1,0.09,-25.76418,-34.71761,0
2019-12-02 22:37:14.377 -0500,4,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575344227.980782,40.4470354279192,-79.94832276516273,282.3302,-1,-1,10,65,-9999,1575344234.347966,24.25039672851562,-18.74918556213379,-27.19927215576172,308.6443481445312,317.8991088867188,25,543496.6041185,0.0802459716796875,-0.6208343505859375,-0.787628173828125,543496.6041185,-0.2007046081799687,-0.04827565371208437,0.02169064813036837,543496.5823365001,-259.6716613769531,21.68386840820312,-102.8171539306641,543496.5966005001,-0.5003176715098577,0.1074755388829989,0.6416744791784063,-0.164185494184494,-0.1171031296253204,0.03146924078464508,0.006240703165531158,-0.01812511682510376,0.01351630687713623,XArbitraryCorrectedZVertical,0.3177222013473511,-0.028572928160429,-0.2181748747825623,0.9222992658615112,0.0859324187040329,-0.5985376834869385,-0.7964723706245422,23.973876953125,-18.56977081298828,-27.77570343017578,2,543491.7533448751,unknown,2,2019-12-02 22:37:09.567 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,543493.902951,0,-2.563049,97.75729,10.0.0.93,100.77.48.0,1,1,0.09,-26.32146,-35.34319,0
2019-12-02 22:37:14.408 -0500,5,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575344227.980782,40.4470354279192,-79.94832276516273,282.3302,-1,-1,10,65,-9999,1575344234.397804,23.83615112304688,-18.63115692138672,-27.49541473388672,308.5049133300781,317.7596740722656,25,543496.6379235,0.0925445556640625,-0.610198974609375,-0.8337249755859375,543496.6041185,-0.2007046081799687,-0.04827565371208437,0.02169064813036837,543496.5823365001,-259.6716613769531,21.68386840820312,-102.8171539306641,543496.5966005001,-0.5003176715098577,0.1074755388829989,0.6416744791784063,-0.164185494184494,-0.1171031296253204,0.03146924078464508,0.006240703165531158,-0.01812511682510376,0.01351630687713623,XArbitraryCorrectedZVertical,0.3177222013473511,-0.028572928160429,-0.2181748747825623,0.9222992658615112,0.0859324187040329,-0.5985376834869385,-0.7964723706245422,23.973876953125,-18.56977081298828,-27.77570343017578,2,543491.7533448751,unknown,2,2019-12-02 22:37:09.567 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,543493.902951,0,-2.563049,97.75729,10.0.0.93,100.77.48.0,1,1,0.09,-26.87874,-36.06815,0
2019-12-02 22:37:14.447 -0500,6,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575344227.980782,40.4470354279192,-79.94832276516273,282.3302,-1,-1,10,65,-9999,1575344234.397804,23.83615112304688,-18.63115692138672,-27.49541473388672,308.5049133300781,317.7596740722656,25,543496.6717455001,0.0790863037109375,-0.5948944091796875,-0.8245849609375,543496.6717455001,0.01340129292138773,-0.2398179224777444,-0.04755287179223686,543496.6412315001,-259.9351806640625,22.20481872558594,-102.6599426269531,543496.6667275,-0.5001823320096959,0.09977281333374979,0.6325653441441998,-0.009530874900519848,-0.2252540290355682,-0.03946895897388458,0.007230609655380249,-0.005397498607635498,-0.02818262577056885,XArbitraryCorrectedZVertical,0.3127137124538422,-0.03096527419984341,-0.2198960930109024,0.9235242605209351,0.08033468574285507,-0.5912156701087952,-0.8025025725364685,23.42800903320312,-18.42445945739746,-27.86833953857422,2,543491.7533448751,unknown,2,2019-12-02 22:37:09.567 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,543493.902951,0,-2.563049,97.75729,10.0.0.93,100.77.48.0,1,1,0.09,-27.9933,-36.4727,0
2019-12-02 22:37:14.478 -0500,7,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575344227.980782,40.4470354279192,-79.94832276516273,282.3302,-1,-1,10,65,-9999,1575344234.448144,23.50070190429688,-18.49563598632812,-27.58255004882812,308.6005249023438,317.8552856445312,25,543496.7055495001,0.05010986328125,-0.596771240234375,-0.8198394775390625,543496.7055495001,0.02734773491791469,-0.1267369067996719,-0.07672860048238193,543496.7002285001,-260.4599304199219,22.03213500976562,-102.8068084716797,543496.6667275,-0.5001823320096959,0.09977281333374979,0.6325653441441998,-0.009530874900519848,-0.2252540290355682,-0.03946895897388458,0.007230609655380249,-0.005397498607635498,-0.02818262577056885,XArbitraryCorrectedZVertical,0.3127137124538422,-0.03096527419984341,-0.2198960930109024,0.9235242605209351,0.08033468574285507,-0.5912156701087952,-0.8025025725364685,23.42800903320312,-18.42445945739746,-27.86833953857422,2,543491.7533448751,unknown,2,2019-12-02 22:37:09.567 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,543493.902951,0,-2.563049,97.75729,10.0.0.93,100.77.48.0,1,1,0.09,-28.55058,-36.94128,0
2019-12-02 22:37:14.519 -0500,8,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575344227.980782,40.4470354279192,-79.94832276516273,282.3302,-1,-1,10,65,-9999,1575344234.448144,23.50070190429688,-18.49563598632812,-27.58255004882812,308.6005249023438,317.8552856445312,25,543496.7393535001,0.05877685546875,-0.6181640625,-0.80035400390625,543496.7393535001,0.01382793132801843,-0.1387879770483894,-0.02725638849252497,543496.7303475001,-260.6281433105469,22.1002197265625,-102.8890838623047,543496.7017995,-0.5030892501326839,0.09465542914314551,0.6332379204314924,0.02883307263255119,-0.1355639398097992,-0.06311296671628952,-0.02548901736736298,-0.008898735046386719,-0.01928228139877319,XArbitraryCorrectedZVertical,0.3124092519283295,-0.03386611491441727,-0.2219968140125275,0.9230226874351501,0.07618933171033859,-0.5917580127716064,-0.8025071024894714,23.08599853515625,-18.40555000305176,-27.69408416748047,2,543491.7533448751,unknown,2,2019-12-02 22:37:09.567 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,543493.902951,0,-2.563049,97.75729,10.0.0.93,100.77.48.0,1,1,0.09,-29.66514,-34.56866,0
2019-12-02 22:37:14.547 -0500,9,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575344234.461395,40.44703764724132,-79.94832385725068,282.6844,-1,-1,10,65,-9999,1575344234.535495,23.08599853515625,-18.40555000305176,-27.69408416748047,308.7298889160156,317.9846496582031,25,543496.7731755,0.07080078125,-0.603546142578125,-0.7904052734375,543496.7731755,0.02756025517290301,-0.1137044616892601,-0.005930327115388448,543496.7303475001,-260.6281433105469,22.1002197265625,-102.8890838623047,543496.7368535,-0.5057727986914989,0.09223083610352249,0.6333916934578802,-2.525548916310072e-05,-0.1232704222202301,-0.04157312959432602,-0.02507565170526505,-0.02018857002258301,0.001500487327575684,XArbitraryCorrectedZVertical,0.3121630549430847,-0.03542318195104599,-0.2236043661832809,0.9226594567298889,0.0742349773645401,-0.5918819308280945,-0.8025988340377808,22.95816040039062,-18.09171485900879,-27.70633697509766,2,543491.7533448751,unknown,2,2019-12-02 22:37:09.567 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,543493.902951,0,-2.563049,97.75729,10.0.0.93,100.77.48.0,1,1,0.09,-30.22241,-35.1094,0
2019-12-02 22:37:14.584 -0500,10,54F1975D-915E-406D-B08C-09A0652D45A1,facebook,1575344234.461395,40.44703764724132,-79.94832385725068,282.6844,-1,-1,10,65,-9999,1575344234.578423,22.35879516601562,-17.79394912719727,-28.05122375488281,309.0104370117188,318.2651977539062,25,543496.8069805,0.0660858154296875,-0.5982513427734375,-0.8036956787109375,543496.8069805,0.003126551119753026,-0.03015523933907622,-0.0854424635691212,543496.7884565,-260.934814453125,22.56884765625,-102.9630432128906,543496.7719255,-0.506865841801834,0.0877827153211657,0.6340453624189466,0.02745257504284382,-0.1377252787351608,-0.0123673127964139,0.001936264336109161,-0.01085740327835083,0.01231670379638672,XArbitraryCorrectedZVertical,0.3119436800479889,-0.03772758692502975,-0.2247635573148727,0.9223605990409851,0.0706302598118782,-0.5924087166786194,-0.8025355339050293,22.6318359375,-18.33639907836914,-28.20992279052734,2,543491.7533448751,unknown,2,2019-12-02 22:37:09.567 -0500,2019-12-02 21:15:50.958 -0500,134,2.847004,0,0,68.29,0,0,2019-12-02 22:07:56.579 -0500,543493.902951,0,-2.563049,97.75729,10.0.0.93,100.77.48.0,1,1,0.09,-31.33697,-35.76015,0
