loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),label(N)
2019-12-10 16:22:06.704 -0500,1,54F1975D-915E-406D-B08C-09A0652D45A1,instagram,1576012926.000731,40.44252916242969,-79.94617352269584,316.153,2.95,265.4296875,12,10,-9999,1576012926.68564,-11.98583984375,-43.39568328857422,-42.24273681640625,147.4088897705078,156.6645050048828,20,358861.5187734167,0.045196533203125,-0.3179473876953125,-0.9622650146484375,358861.5150234167,-0.1334992054396011,0.07991107798502663,0.1454639892690001,358861.4874444167,-293.3438415527344,-16.8980712890625,-81.9130859375,358861.5012564167,1.984340903644491,0.02045656446455698,0.3142410514777377,-0.1700609177350998,0.1874516755342484,0.1189628019928932,0.04206927120685577,-0.02823531627655029,-0.01352500915527344,XArbitraryCorrectedZVertical,0.0771099179983139,0.1365208029747009,0.8277340531349182,0.5387694835662842,0.01945347525179386,-0.3090947866439819,-0.9508322477340698,-11.95806884765625,-43.35182571411133,-42.09554290771484,2,358859.4242239167,unknown,2,2019-12-10 16:22:04.593 -0500,2019-12-10 14:19:22.023 -0500,629,0.9171925,0,0,487.08,9,13,2019-12-10 15:38:00.067 -0500,358858.73275,0,-18.70763,98.44862,128.237.163.125,100.122.87.168,5,1,0.52,-25.64264,-32.72605,0
2019-12-10 16:22:06.725 -0500,2,54F1975D-915E-406D-B08C-09A0652D45A1,instagram,1576012926.000731,40.44252916242969,-79.94617352269584,316.153,2.95,265.4296875,12,10,-9999,1576012926.68564,-11.98583984375,-43.39568328857422,-42.24273681640625,147.4088897705078,156.6645050048828,20,358861.5525914167,0.019073486328125,-0.291351318359375,-0.9874114990234375,358861.5488244167,-0.1673016438915408,0.01579520842525996,0.07449846938554959,358861.5464844167,-293.344482421875,-16.38819885253906,-82.05690002441406,358861.5363074167,1.989259821355242,0.02203702610571852,0.3090903859248658,-0.1808679401874542,0.06672593206167221,0.1137654334306717,0.006947070360183716,-0.00922730565071106,0.003784477710723877,XArbitraryCorrectedZVertical,0.0747290626168251,0.1350032836198807,0.8294368982315063,0.5368650555610657,0.02099100686609745,-0.3041922450065613,-0.9523793458938599,-12.074951171875,-43.18583679199219,-42.38291931152344,2,358859.4242239167,unknown,2,2019-12-10 16:22:04.593 -0500,2019-12-10 14:19:22.023 -0500,629,0.9171925,0,0,487.08,9,13,2019-12-10 15:38:00.067 -0500,358858.73275,0,-18.70763,98.44862,128.237.163.125,100.122.87.168,5,1,0.52,-25.64264,-33.34846,0
2019-12-10 16:22:06.755 -0500,3,54F1975D-915E-406D-B08C-09A0652D45A1,instagram,1576012926.000731,40.44252916242969,-79.94617352269584,316.153,2.95,265.4296875,12,10,-9999,1576012926.735605,-11.91094970703125,-43.08876037597656,-42.43074798583984,147.135009765625,156.390625,20,358861.5863914167,0.0194854736328125,-0.289642333984375,-0.9984283447265625,358861.5826414167,0.03593563048509321,0.05689657247677987,0.0007363640414069094,358861.5464844167,-293.344482421875,-16.38819885253906,-82.05690002441406,358861.5713744167,1.991397297496621,0.02241603204867301,0.3046290067214942,-0.057537741959095,0.02189401350915432,0.01689481548964977,-0.004521980881690979,0.02092808485031128,-0.0623353123664856,XArbitraryCorrectedZVertical,0.07322525978088379,0.1333369612693787,0.8302969336509705,0.5361588597297668,0.02138216979801655,-0.2999392747879028,-0.9537186026573181,-11.95126342773438,-42.95795440673828,-42.41558837890625,2,358859.4242239167,unknown,2,2019-12-10 16:22:04.593 -0500,2019-12-10 14:19:22.023 -0500,629,0.9171925,0,0,487.08,9,13,2019-12-10 15:38:00.067 -0500,358858.73275,0,-18.70763,98.44862,128.237.163.125,100.122.87.168,5,1,0.52,-25.64264,-34.10904,0
2019-12-10 16:22:06.786 -0500,4,54F1975D-915E-406D-B08C-09A0652D45A1,instagram,1576012926.000731,40.44252916242969,-79.94617352269584,316.153,2.95,265.4296875,12,10,-9999,1576012926.735605,-11.91094970703125,-43.08876037597656,-42.43074798583984,147.135009765625,156.390625,20,358861.6201924167,0.01739501953125,-0.29327392578125,-0.9310302734375,358861.6164424167,-0.04774674991959463,0.1203740823232545,0.03280188883039697,358861.6055204167,-293.09765625,-16.29843139648438,-82.46478271484375,358861.6064254167,1.991297631854025,0.02505138003013354,0.3053128879992477,0.0058575589209795,0.09290371835231781,-0.003857713425531983,-0.009074941277503967,0.01076203584671021,-0.01294815540313721,XArbitraryCorrectedZVertical,0.07232218980789185,0.1343229562044144,0.8303247094154358,0.5359922647476196,0.02389032766222954,-0.3005916178226471,-0.9534536600112915,-11.882080078125,-42.96160125732422,-42.52363586425781,2,358859.4242239167,unknown,2,2019-12-10 16:22:04.593 -0500,2019-12-10 14:19:22.023 -0500,629,0.9171925,0,0,487.08,9,13,2019-12-10 15:38:00.067 -0500,358858.73275,0,-18.70763,98.44862,128.237.163.125,100.122.87.168,5,1,0.52,-25.64264,-33.20969,0
2019-12-10 16:22:06.827 -0500,5,54F1975D-915E-406D-B08C-09A0652D45A1,instagram,1576012926.000731,40.44252916242969,-79.94617352269584,316.153,2.95,265.4296875,12,10,-9999,1576012926.786078,-11.79425048828125,-42.85517501831055,-42.51708984375,147.1231384277344,156.3787536621094,20,358861.6540094167,0.0228424072265625,-0.3050384521484375,-0.957672119140625,358861.6502424167,-0.08735940692176024,0.1208638376477201,0.07491285725116592,358861.6055204167,-293.09765625,-16.29843139648438,-82.46478271484375,358861.6414924167,1.992983768711479,0.02914042676453066,0.302962653067758,-0.1019536033272743,0.1353277117013931,0.06427616626024246,0.0008456408977508545,-0.005167752504348755,0.008188068866729736,XArbitraryCorrectedZVertical,0.06987710297107697,0.1345043182373047,0.8310624361038208,0.5351271033287048,0.02780934236943722,-0.2983492314815521,-0.9540515542030334,-11.69113159179688,-42.92971420288086,-42.56140899658203,2,358859.4242239167,unknown,2,2019-12-10 16:22:04.593 -0500,2019-12-10 14:19:22.023 -0500,629,0.9171925,0,0,487.08,9,13,2019-12-10 15:38:00.067 -0500,358858.73275,0,-18.70763,98.44862,128.237.163.125,100.122.87.168,5,1,0.52,-25.64264,-34.04684,0
2019-12-10 16:22:06.872 -0500,6,54F1975D-915E-406D-B08C-09A0652D45A1,instagram,1576012926.000731,40.44252916242969,-79.94617352269584,316.153,2.95,265.4296875,12,10,-9999,1576012926.836065,-11.73052978515625,-42.69804382324219,-42.94785308837891,146.9191589355469,156.1747741699219,20,358861.6878094167,0.02911376953125,-0.2878265380859375,-0.9554595947265625,358861.6840594167,-0.0789054683574127,0.1189218605808343,0.07376077376359763,358861.6645554167,-292.9373474121094,-16.04605102539062,-82.86515808105469,358861.6765434167,1.995899397029649,0.03293237439619699,0.3003783623548015,-0.0643596276640892,0.1382184028625488,0.0752069354057312,-0.005940571427345276,0.0009856820106506348,-0.00640028715133667,XArbitraryCorrectedZVertical,0.06740865856409073,0.1345464140176773,0.8321240544319153,0.5337818264961243,0.03145213052630424,-0.2958816587924957,-0.9547066688537598,-11.70681762695312,-42.72645568847656,-42.91275024414062,2,358859.4242239167,unknown,2,2019-12-10 16:22:04.593 -0500,2019-12-10 14:19:22.023 -0500,629,0.9171925,0,0,487.08,9,13,2019-12-10 15:38:00.067 -0500,358858.73275,0,-18.70763,98.44862,128.237.163.125,100.122.87.168,5,1,0.52,-25.64264,-34.30169,0
2019-12-10 16:22:06.895 -0500,7,54F1975D-915E-406D-B08C-09A0652D45A1,instagram,1576012926.000731,40.44252916242969,-79.94617352269584,316.153,2.95,265.4296875,12,10,-9999,1576012926.885902,-11.62286376953125,-42.66276168823242,-42.86924743652344,146.7355194091797,155.9911346435547,20,358861.7216274167,0.0517730712890625,-0.26666259765625,-1.04400634765625,358861.7178604167,0.2047438246052918,-0.02927106985716992,-0.005209942040522014,358861.7235834167,-292.7130126953125,-16.24635314941406,-82.75761413574219,358861.7116104167,1.998273026459801,0.03594899019716682,0.2986964506721853,0.0334206260740757,0.07686535269021988,0.05228631198406219,0.01218824833631516,0.02304506301879883,-0.04289931058883667,XArbitraryCorrectedZVertical,0.06554108858108521,0.1347317844629288,0.8329548835754395,0.5326706767082214,0.03434980288147926,-0.294274628162384,-0.9551033973693848,-11.62286376953125,-42.66276168823242,-42.86924743652344,2,358859.4242239167,unknown,2,2019-12-10 16:22:04.593 -0500,2019-12-10 14:19:22.023 -0500,629,0.9171925,0,0,487.08,9,13,2019-12-10 15:38:00.067 -0500,358858.73275,0,-18.70763,98.44862,128.237.163.125,100.122.87.168,5,1,0.52,-25.64264,-31.92772,0
2019-12-10 16:22:06.931 -0500,8,54F1975D-915E-406D-B08C-09A0652D45A1,instagram,1576012926.000731,40.44252916242969,-79.94617352269584,316.153,2.95,265.4296875,12,10,-9999,1576012926.885902,-11.62286376953125,-42.66276168823242,-42.86924743652344,146.7355194091797,155.9911346435547,20,358861.7554274167,0.0453338623046875,-0.2882232666015625,-1.025299072265625,358861.7516774167,0.5239513781266254,0.1832864693864144,-0.06821181131630853,358861.7235834167,-292.7130126953125,-16.24635314941406,-82.75761413574219,358861.7466614167,1.997310755646419,0.03597849169839809,0.3089949013986131,0.3870824873447418,0.04870500788092613,-0.02918269671499729,0.02102946490049362,-0.01845848560333252,-0.07045471668243408,XArbitraryCorrectedZVertical,0.06836080551147461,0.1389791369438171,0.8320939540863037,0.532570481300354,0.03426714614033699,-0.304101288318634,-0.9520232081413269,-11.60836791992188,-43.080322265625,-42.55874633789062,2,358859.4242239167,unknown,2,2019-12-10 16:22:04.593 -0500,2019-12-10 14:19:22.023 -0500,629,0.9171925,0,0,487.08,9,13,2019-12-10 15:38:00.067 -0500,358858.73275,0,-18.70763,98.44862,128.237.163.125,100.122.87.168,5,1,0.52,-25.64264,-29.94967,0
2019-12-10 16:22:06.954 -0500,9,54F1975D-915E-406D-B08C-09A0652D45A1,instagram,1576012926.000731,40.44252916242969,-79.94617352269584,316.153,2.95,265.4296875,12,10,-9999,1576012926.939607,-11.19534301757812,-43.65778350830078,-41.87115478515625,146.9458923339844,156.2015075683594,20,358861.7867264167,-0.0103302001953125,-0.2912139892578125,-0.8740997314453125,358861.7854764167,0.6537133696085182,0.4878703390460138,-0.09100554077018773,358861.7826254167,-291.909912109375,-17.22099304199219,-81.49127197265625,358861.7466614167,1.997310755646419,0.03597849169839809,0.3089949013986131,0.3870824873447418,0.04870500788092613,-0.02918269671499729,0.02102946490049362,-0.01845848560333252,-0.07045471668243408,XArbitraryCorrectedZVertical,0.06836080551147461,0.1389791369438171,0.8320939540863037,0.532570481300354,0.03426714614033699,-0.304101288318634,-0.9520232081413269,-11.60836791992188,-43.080322265625,-42.55874633789062,2,358859.4242239167,unknown,2,2019-12-10 16:22:04.593 -0500,2019-12-10 14:19:22.023 -0500,629,0.9171925,0,0,487.08,9,13,2019-12-10 15:38:00.067 -0500,358858.73275,0,-18.70763,98.44862,128.237.163.125,100.122.87.168,5,1,0.52,-25.64264,-29.94967,0
2019-12-10 16:22:07.000 -0500,10,54F1975D-915E-406D-B08C-09A0652D45A1,instagram,1576012926.000731,40.44252916242969,-79.94617352269584,316.153,2.95,265.4296875,12,10,-9999,1576012926.989418,-10.55706787109375,-44.21115875244141,-41.12985229492188,147.1925506591797,156.4481658935547,20,358861.8167764167,0.0683746337890625,-0.38311767578125,-0.7926177978515625,358861.7854764167,0.6537133696085182,0.4878703390460138,-0.09100554077018773,358861.7826254167,-291.909912109375,-17.22099304199219,-81.49127197265625,358861.7466614167,1.997310755646419,0.03597849169839809,0.3089949013986131,0.3870824873447418,0.04870500788092613,-0.02918269671499729,0.02102946490049362,-0.01845848560333252,-0.07045471668243408,XArbitraryCorrectedZVertical,0.06836080551147461,0.1389791369438171,0.8320939540863037,0.532570481300354,0.03426714614033699,-0.304101288318634,-0.9520232081413269,-11.60836791992188,-43.080322265625,-42.55874633789062,2,358859.4242239167,unknown,2,2019-12-10 16:22:04.593 -0500,2019-12-10 14:19:22.023 -0500,629,0.9171925,0,0,487.08,9,13,2019-12-10 15:38:00.067 -0500,358858.73275,0,-18.70763,98.44862,128.237.163.125,100.122.87.168,5,1,0.52,-25.64264,-30.61698,0
