loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),label(N)
2019-12-09 10:04:31.331 -0500,1,54F1975D-915E-406D-B08C-09A0652D45A1,notetaking,1575903870.995779,40.44739421801789,-79.94840821227146,319.3617,-1,-1,17.1246395111084,200,-9999,1575903871.297168,0.142242431640625,5.056052207946777,-29.26753234863281,319.7427062988281,328.9973449707031,15,289087.3785641667,0.064361572265625,-0.4397125244140625,-0.9955291748046875,289087.3773141667,-0.01333364862969972,-0.1130679661887312,-0.01374697123088002,289087.3777711667,-283.3955688476562,11.49002075195312,-102.1062164306641,289087.3647951667,-1.587064185809032,0.07257963775246122,0.4431202618513341,0.02126198448240757,0.136911541223526,0.08922696858644485,0.0207425057888031,-0.02603721618652344,0.001590311527252197,XArbitraryCorrectedZVertical,0.1792483031749725,-0.1317200362682343,-0.6893606185913086,0.6894214153289795,0.06551221758127213,-0.428760439157486,-0.9010397791862488,0.142242431640625,5.056052207946777,-29.26753234863281,2,289087.2204811667,unknown,2,2019-12-09 10:04:31.162 -0500,2019-12-09 09:37:05.066 -0500,11,3.761207,0,0,8.47,0,0,2019-12-09 09:39:37.959 -0500,289084.447469,0,4.465515,97.7168,10.0.0.93,100.91.41.221,5,1,0.92,-20.82299,-29.10457,0
2019-12-09 10:04:31.347 -0500,2,54F1975D-915E-406D-B08C-09A0652D45A1,notetaking,1575903870.995779,40.44739421801789,-79.94840821227146,319.3617,-1,-1,17.1246395111084,200,-9999,1575903871.297168,0.142242431640625,5.056052207946777,-29.26753234863281,319.7427062988281,328.9973449707031,15,289087.4123901667,0.0760040283203125,-0.417327880859375,-0.90838623046875,289087.4111401667,0.08855703046396887,0.002021339267370142,-0.0494229435096905,289087.3777711667,-283.3955688476562,11.49002075195312,-102.1062164306641,289087.3998711667,-1.587469692010908,0.07028666221966563,0.4437163192872109,0.0640694797039032,-0.06743008643388748,-0.0301588848233223,0.009368568658828735,-3.194808959960938e-05,-0.02467048168182373,XArbitraryCorrectedZVertical,0.178633064031601,-0.1327553242444992,-0.6896515488624573,0.6890914440155029,0.06342802196741104,-0.4292988479137421,-0.9009324908256531,0.018402099609375,4.989479064941406,-29.62587738037109,2,289087.2204811667,unknown,2,2019-12-09 10:04:31.162 -0500,2019-12-09 09:37:05.066 -0500,11,3.761207,0,0,8.47,0,0,2019-12-09 09:39:37.959 -0500,289084.447469,0,4.465515,97.7168,10.0.0.93,100.91.41.221,5,1,0.92,-20.82299,-29.10457,0
2019-12-09 10:04:31.376 -0500,3,54F1975D-915E-406D-B08C-09A0652D45A1,notetaking,1575903870.995779,40.44739421801789,-79.94840821227146,319.3617,-1,-1,17.1246395111084,200,-9999,1575903871.347562,0.103973388671875,4.939443588256836,-29.72929382324219,319.8178100585938,329.0724487304688,15,289087.4461961667,0.048858642578125,-0.43804931640625,-0.8529815673828125,289087.4449461667,0.0749123246189479,-0.09404234336120508,-0.01666286630840778,289087.4366391667,-283.3126831054688,11.52314758300781,-101.7629699707031,289087.4349271667,-1.589356472503566,0.07055765494472516,0.4468738223231952,0.1144617348909378,-0.03570182621479034,-0.02924971841275692,0.02139683067798615,0.00983661413192749,0.02620172500610352,XArbitraryCorrectedZVertical,0.1796704679727554,-0.133937269449234,-0.6899904608726501,0.6882532835006714,0.06357628852128983,-0.4321484565734863,-0.8995586633682251,0.060089111328125,4.852737426757812,-29.49890899658203,2,289087.2204811667,unknown,2,2019-12-09 10:04:31.162 -0500,2019-12-09 09:37:05.066 -0500,11,3.761207,0,0,8.47,0,0,2019-12-09 09:39:37.959 -0500,289084.447469,0,4.465515,97.7168,10.0.0.93,100.91.41.221,5,1,0.92,-20.82299,-29.78752,0
2019-12-09 10:04:31.423 -0500,4,54F1975D-915E-406D-B08C-09A0652D45A1,notetaking,1575903870.995779,40.44739421801789,-79.94840821227146,319.3617,-1,-1,17.1246395111084,200,-9999,1575903871.396879,-0.212066650390625,4.805208206176758,-29.35139465332031,319.9383239746094,329.1929626464844,15,289087.4800221667,0.0373077392578125,-0.4238128662109375,-0.927764892578125,289087.4787531667,0.0832136640528339,0.04614219536282189,-0.08300460590726268,289087.4366391667,-283.3126831054688,11.52314758300781,-101.7629699707031,289087.4700031667,-1.590858001052232,0.06932806582833857,0.4482945986844815,0.006519549526274204,-0.007590247318148613,-0.05699553713202477,-0.03540726006031036,0.01398614048957825,0.005844593048095703,XArbitraryCorrectedZVertical,0.1796259731054306,-0.1349931359291077,-0.6904879212379456,0.6875593066215515,0.06242755427956581,-0.4334292709827423,-0.8990226984024048,-0.484588623046875,4.832189559936523,-29.27324676513672,2,289087.2204811667,unknown,2,2019-12-09 10:04:31.162 -0500,2019-12-09 09:37:05.066 -0500,11,3.761207,0,0,8.47,0,0,2019-12-09 09:39:37.959 -0500,289084.447469,0,4.465515,97.7168,10.0.0.93,100.91.41.221,5,1,0.92,-20.82299,-29.53254,0
2019-12-09 10:04:31.446 -0500,5,54F1975D-915E-406D-B08C-09A0652D45A1,notetaking,1575903870.995779,40.44739421801789,-79.94840821227146,319.3617,-1,-1,17.1246395111084,200,-9999,1575903871.396879,-0.212066650390625,4.805208206176758,-29.35139465332031,319.9383239746094,329.1929626464844,15,289087.513829,0.0897064208984375,-0.44097900390625,-0.9087371826171875,289087.512579,0.03253370850862599,-0.1798214304921123,-0.04374854617505867,289087.4955091667,-283.8281860351562,11.09608459472656,-102.2047424316406,289087.50506,-1.594394911606317,0.0702772463938143,0.4513602975695634,0.1072912439703941,-0.1051203832030296,-0.08467686921358109,0.02582947909832001,-0.008460640907287598,-0.02731359004974365,XArbitraryCorrectedZVertical,0.1807500272989273,-0.1360615342855453,-0.691336452960968,0.6862002015113831,0.06318726390600204,-0.4361900091171265,-0.8976333737373352,-0.266845703125,4.583676338195801,-29.59749603271484,2,289087.2204811667,unknown,2,2019-12-09 10:04:31.162 -0500,2019-12-09 09:37:05.066 -0500,11,3.761207,0,0,8.47,0,0,2019-12-09 09:39:37.959 -0500,289084.447469,0,4.465515,97.7168,10.0.0.93,100.91.41.221,5,1,0.92,-20.82299,-26.83952,0
2019-12-09 10:04:31.477 -0500,6,54F1975D-915E-406D-B08C-09A0652D45A1,notetaking,1575903870.995779,40.44739421801789,-79.94840821227146,319.3617,-1,-1,17.1246395111084,200,-9999,1575903871.44687,-0.259368896484375,4.471165657043457,-29.50068664550781,320.199951171875,329.45458984375,15,289087.547636,0.06524658203125,-0.453887939453125,-0.92584228515625,289087.546386,0.1219911537371507,-0.05195933813188197,0.1173511281699056,289087.4955091667,-283.8281860351562,11.09608459472656,-102.2047424316406,289087.50506,-1.594394911606317,0.0702772463938143,0.4513602975695634,0.1072912439703941,-0.1051203832030296,-0.08467686921358109,0.02582947909832001,-0.008460640907287598,-0.02731359004974365,XArbitraryCorrectedZVertical,0.1807500272989273,-0.1360615342855453,-0.691336452960968,0.6862002015113831,0.06318726390600204,-0.4361900091171265,-0.8976333737373352,-0.266845703125,4.583676338195801,-29.59749603271484,2,289087.2204811667,unknown,2,2019-12-09 10:04:31.162 -0500,2019-12-09 09:37:05.066 -0500,11,3.761207,0,0,8.47,0,0,2019-12-09 09:39:37.959 -0500,289084.447469,0,4.465515,97.7168,10.0.0.93,100.91.41.221,5,1,0.92,-20.82299,-27.46599,0
2019-12-09 10:04:31.521 -0500,7,54F1975D-915E-406D-B08C-09A0652D45A1,notetaking,1575903870.995779,40.44739421801789,-79.94840821227146,319.3617,-1,-1,17.1246395111084,200,-9999,1575903871.497405,-0.4202880859375,4.560800552368164,-30.50283050537109,320.0333557128906,329.2879943847656,15,289087.581462,0.0442962646484375,-0.444671630859375,-0.938323974609375,289087.580212,0.4808039074095976,-0.1683557230509942,0.02346511236468817,289087.554372,-283.4073486328125,11.33580017089844,-102.2584533691406,289087.575193,-1.592065521582452,0.06194014718407403,0.4634874746342029,0.4627349376678467,-0.1010392904281616,0.03677250817418098,0.005860909819602966,0.02324843406677246,-0.08621037006378174,XArbitraryCorrectedZVertical,0.1821271777153015,-0.1429614424705505,-0.6901750564575195,0.6856020092964172,0.05536996573209763,-0.4470703601837158,-0.8927834630012512,-0.421112060546875,4.497031211853027,-30.39844512939453,2,289087.2204811667,unknown,2,2019-12-09 10:04:31.162 -0500,2019-12-09 09:37:05.066 -0500,11,3.761207,0,0,8.47,0,0,2019-12-09 09:39:37.959 -0500,289084.447469,0,4.465515,97.7168,10.0.0.93,100.91.41.221,5,1,0.92,-20.82299,-28.27682,0
2019-12-09 10:04:31.555 -0500,8,54F1975D-915E-406D-B08C-09A0652D45A1,notetaking,1575903870.995779,40.44739421801789,-79.94840821227146,319.3617,-1,-1,17.1246395111084,200,-9999,1575903871.547254,-0.5343017578125,3.450328826904297,-30.88816833496094,320.1741943359375,329.4288330078125,15,289087.615269,0.071258544921875,-0.45068359375,-0.8782501220703125,289087.614019,0.5347401100186454,-0.1258775047159033,-0.05543343177389033,289087.613245,-283.9073486328125,9.952987670898438,-103.2481384277344,289087.575193,-1.592065521582452,0.06194014718407403,0.4634874746342029,0.4627349376678467,-0.1010392904281616,0.03677250817418098,0.005860909819602966,0.02324843406677246,-0.08621037006378174,XArbitraryCorrectedZVertical,0.1821271777153015,-0.1429614424705505,-0.6901750564575195,0.6856020092964172,0.05536996573209763,-0.4470703601837158,-0.8927834630012512,-0.421112060546875,4.497031211853027,-30.39844512939453,2,289087.2204811667,unknown,2,2019-12-09 10:04:31.162 -0500,2019-12-09 09:37:05.066 -0500,11,3.761207,0,0,8.47,0,0,2019-12-09 09:39:37.959 -0500,289084.447469,0,4.465515,97.7168,10.0.0.93,100.91.41.221,5,1,0.92,-20.82299,-28.67805,0
2019-12-09 10:04:31.577 -0500,9,54F1975D-915E-406D-B08C-09A0652D45A1,notetaking,1575903870.995779,40.44739421801789,-79.94840821227146,319.3617,-1,-1,17.1246395111084,200,-9999,1575903871.547254,-0.5343017578125,3.450328826904297,-30.88816833496094,320.1741943359375,329.4288330078125,15,289087.649076,0.0075531005859375,-0.5262908935546875,-0.7432708740234375,289087.647826,-0.2006034080585457,-0.1128676964747572,0.09934150129824475,289087.613245,-283.9073486328125,9.952987670898438,-103.2481384277344,289087.610269,-1.594066077955262,0.05803184483597786,0.4814303456618764,0.5632753372192383,-0.1542685031890869,-0.07243706285953522,0.01174694299697876,0.001079142093658447,-0.005422830581665039,XArbitraryCorrectedZVertical,0.1866829395294189,-0.1507605314254761,-0.6895367503166199,0.6833446025848389,0.05140670388936996,-0.4630474150180817,-0.8848415017127991,-0.5343017578125,3.450328826904297,-30.88816833496094,2,289087.2204811667,unknown,2,2019-12-09 10:04:31.162 -0500,2019-12-09 09:37:05.066 -0500,11,3.761207,0,0,8.47,0,0,2019-12-09 09:39:37.959 -0500,289084.447469,0,4.465515,97.7168,10.0.0.93,100.91.41.221,5,1,0.92,-20.82299,-29.33858,0
2019-12-09 10:04:31.640 -0500,10,54F1975D-915E-406D-B08C-09A0652D45A1,notetaking,1575903870.995779,40.44739421801789,-79.94840821227146,319.3617,-1,-1,17.1246395111084,200,-9999,1575903871.607069,-0.971527099609375,3.503548622131348,-30.66252899169922,319.878662109375,329.13330078125,15,289087.681642,0.014984130859375,-0.471343994140625,-0.9647369384765625,289087.680392,0.1650771054329976,-0.1229285864408586,0.08105676988597872,289087.672119,-284.3950500488281,10.3494873046875,-103.0453491210938,289087.645326,-1.591600162672172,0.05566089867114418,0.4887538325503155,-0.1131374835968018,-0.01405366603285074,0.1803683638572693,0.0004852712154388428,-0.03690600395202637,0.1819301247596741,XArbitraryCorrectedZVertical,0.1885208487510681,-0.1538968533277512,-0.6882174611091614,0.6834707856178284,0.04911867156624794,-0.4695259928703308,-0.8815513253211975,-0.750518798828125,3.159046173095703,-30.47966003417969,2,289087.2204811667,unknown,2,2019-12-09 10:04:31.162 -0500,2019-12-09 09:37:05.066 -0500,11,3.761207,0,0,8.47,0,0,2019-12-09 09:39:37.959 -0500,289084.447469,0,4.465515,97.7168,10.0.0.93,100.91.41.221,5,1,0.92,-20.82299,-26.30511,0
