loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),label(N)
2019-12-10 20:59:04.687 -0500,1,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1576029543.642889,40.44686731256244,-79.94820540610004,281.5548,-1,-1,10,65,-9999,1576029544.649066,2.255401611328125,-25.67667770385742,-31.1722412109375,182.6184997558594,191.8731994628906,15,370976.5665541667,0.0426177978515625,-0.301788330078125,-1.065032958984375,370976.5653041667,-0.3965119294313906,-0.01111550175777272,-0.1471662818377787,370976.5331101667,-299.5159912109375,19.28703308105469,-56.27685546875,370976.5352481667,1.331390727887862,-0.0317280304112789,0.3377587578221681,-0.1328754723072052,0.3530707657337189,-0.08480863273143768,-0.06612370908260345,-0.0002917349338531494,0.07388424873352051,XArbitraryCorrectedZVertical,0.1418323665857315,0.09149399399757385,0.6066463589668274,0.776847779750824,-0.0299303662031889,-0.3313733041286469,-0.9430248737335205,2.245086669921875,-25.82738304138184,-31.24381637573242,2,370972.75897675,walking,1,2019-12-10 20:59:00.872 -0500,2019-12-10 20:40:57.123 -0500,25,3.26692,0,0,19.79,0,0,2019-12-10 20:59:03.121 -0500,370973.719396,0,3.065094,98.9628,10.0.0.93,100.72.88.128,5,1,0.04,-33.05808,-40.70079,0
2019-12-10 20:59:04.705 -0500,2,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1576029543.642889,40.44686731256244,-79.94820540610004,281.5548,-1,-1,10,65,-9999,1576029544.699087,2.33038330078125,-25.85705947875977,-30.90022277832031,182.8294067382812,192.0841064453125,15,370976.6003611667,0.016632080078125,-0.2852020263671875,-1.110885620117188,370976.5991111667,0.7167748936927225,-0.2410443081597259,0.003740676067125298,370976.5919821667,-298.9114990234375,19.41085815429688,-56.59219360351562,370976.5703041667,1.325868873574929,-0.02143989539928325,0.3210729870232922,-0.397082507610321,-0.002685204148292542,-0.1484358310699463,0.06216704845428467,0.01994580030441284,-0.1490837931632996,XArbitraryCorrectedZVertical,0.1324956119060516,0.09002932161092758,0.6061334609985352,0.7790647745132446,-0.02034270204603672,-0.3155848979949951,-0.9486792683601379,2.52850341796875,-25.44812202453613,-31.36000442504883,2,370972.75897675,walking,1,2019-12-10 20:59:00.872 -0500,2019-12-10 20:40:57.123 -0500,25,3.26692,0,0,19.79,0,0,2019-12-10 20:59:03.121 -0500,370973.719396,0,3.065094,98.9628,10.0.0.93,100.72.88.128,5,1,0.04,-33.61536,-41.12649,0
2019-12-10 20:59:04.733 -0500,3,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1576029543.642889,40.44686731256244,-79.94820540610004,281.5548,-1,-1,10,65,-9999,1576029544.699087,2.33038330078125,-25.85705947875977,-30.90022277832031,182.8294067382812,192.0841064453125,15,370976.6341671667,-0.00482177734375,-0.3498992919921875,-0.939910888671875,370976.6329171667,0.6924085676151516,-0.2595836377722035,-0.03210680378588629,370976.5919821667,-298.9114990234375,19.41085815429688,-56.59219360351562,370976.6053791667,1.325837113438769,-0.02694387108165276,0.3335961134442463,0.7362295985221863,-0.2454918026924133,0.002185774734243751,0.03151313960552216,0.02312171459197998,-0.1270357370376587,XArbitraryCorrectedZVertical,0.1390250772237778,0.09169536828994751,0.6050607562065125,0.7785662412643433,-0.02545540034770966,-0.32744300365448,-0.9445279836654663,2.4317626953125,-26.04165077209473,-31.09307098388672,2,370972.75897675,walking,1,2019-12-10 20:59:00.872 -0500,2019-12-10 20:40:57.123 -0500,25,3.26692,0,0,19.79,0,0,2019-12-10 20:59:03.121 -0500,370973.719396,0,3.065094,98.9628,10.0.0.93,100.72.88.128,5,1,0.04,-34.17264,-41.50839,0
2019-12-10 20:59:04.769 -0500,4,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1576029543.642889,40.44686731256244,-79.94820540610004,281.5548,-1,-1,10,65,-9999,1576029544.749386,2.161651611328125,-27.06239128112793,-29.94180297851562,182.8203735351562,192.0750732421875,15,370976.6679931667,-0.0544586181640625,-0.3407745361328125,-0.899139404296875,370976.6667431667,0.4783122538937195,-0.3430841242744389,-0.1180898890562936,370976.6508501667,-299.248779296875,17.98068237304688,-55.10322570800781,370976.6404361667,1.326618334390316,-0.03802914171323751,0.3593144518143185,0.6871023774147034,-0.227572962641716,-0.03614113107323647,-0.003867268562316895,0.01186501979827881,-0.004022359848022461,XArbitraryCorrectedZVertical,0.1522954404354095,0.09526525437831879,0.6030309200286865,0.7772286534309387,-0.03559194877743721,-0.3516325354576111,-0.9354612827301025,2.05267333984375,-26.6226749420166,-30.20956039428711,2,370972.75897675,walking,1,2019-12-10 20:59:00.872 -0500,2019-12-10 20:40:57.123 -0500,25,3.26692,0,0,19.79,0,0,2019-12-10 20:59:03.121 -0500,370973.719396,0,3.065094,98.9628,10.0.0.93,100.72.88.128,5,1,0.04,-35.28719,-42.25726,0
2019-12-10 20:59:04.799 -0500,5,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1576029543.642889,40.44686731256244,-79.94820540610004,281.5548,-1,-1,10,65,-9999,1576029544.749386,2.161651611328125,-27.06239128112793,-29.94180297851562,182.8203735351562,192.0750732421875,15,370976.7017991667,-0.0713653564453125,-0.3574371337890625,-0.91748046875,370976.7005491667,0.3889480193033475,-0.4280829052059529,-0.4495043077501143,370976.6508501667,-299.248779296875,17.98068237304688,-55.10322570800781,370976.6755121667,1.324523754373043,-0.04659779754499047,0.3787470540696702,0.4376496970653534,-0.3234769999980927,-0.1329989582300186,-0.01247595250606537,0.02119991183280945,0.08710145950317383,XArbitraryCorrectedZVertical,0.1624784469604492,0.09767653048038483,0.6002868413925171,0.7769914865493774,-0.04327968135476112,-0.3697566092014313,-0.9281200766563416,1.876373291015625,-27.37825393676758,-30.19696044921875,2,370972.75897675,walking,1,2019-12-10 20:59:00.872 -0500,2019-12-10 20:40:57.123 -0500,25,3.26692,0,0,19.79,0,0,2019-12-10 20:59:03.121 -0500,370973.719396,0,3.065094,98.9628,10.0.0.93,100.72.88.128,5,1,0.04,-35.84447,-43.12238,0
2019-12-10 20:59:04.839 -0500,6,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1576029543.642889,40.44686731256244,-79.94820540610004,281.5548,-1,-1,10,65,-9999,1576029544.799119,2.0067138671875,-27.63907051086426,-29.64018249511719,183.3618316650391,192.6165313720703,15,370976.7356251667,0.032928466796875,-0.4849395751953125,-0.95623779296875,370976.7343561667,1.318151288926785,-0.6418788143564241,-0.2269932039323588,370976.7097331667,-299.5588989257812,17.30537414550781,-54.93095397949219,370976.7105681667,1.312500546730744,-0.0528387232985023,0.3924903117881643,0.636396586894989,-0.5951436758041382,-0.4880587756633759,0.0229344516992569,0.02477854490280151,-0.1362900137901306,XArbitraryCorrectedZVertical,0.1702407747507095,0.09840289503335953,0.5941490530967712,0.779949963092804,-0.04879812151193619,-0.3824905455112457,-0.9226698875427246,1.926727294921875,-27.83477592468262,-29.65650939941406,2,370972.75897675,walking,1,2019-12-10 20:59:00.872 -0500,2019-12-10 20:40:57.123 -0500,25,3.26692,0,0,19.79,0,0,2019-12-10 20:59:03.121 -0500,370973.719396,0,3.065094,98.9628,10.0.0.93,100.72.88.128,5,1,0.04,-36.95903,-43.67819,0
2019-12-10 20:59:04.869 -0500,7,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1576029543.642889,40.44686731256244,-79.94820540610004,281.5548,-1,-1,10,65,-9999,1576029544.849273,1.624755859375,-28.89470863342285,-28.71508026123047,184.1759185791016,193.4306182861328,15,370976.7694311667,-0.0134735107421875,-0.3897857666015625,-0.785400390625,370976.7681811667,0.4269814217790961,-0.8859713766998547,-0.2517456883679913,370976.7686011667,-300.1929321289062,15.665283203125,-52.5875244140625,370976.7456431667,1.304298138347731,-0.07104342773268846,0.4345680983982899,1.237583518028259,-0.6509012579917908,-0.1799210458993912,0.07598254084587097,-0.05850422382354736,0.08149123191833496,XArbitraryCorrectedZVertical,0.1922762095928192,0.103188693523407,0.5861668586730957,0.7802501916885376,-0.06438589096069336,-0.4210186898708344,-0.9047638773918152,1.624755859375,-28.89470863342285,-28.71508026123047,2,370972.75897675,walking,1,2019-12-10 20:59:00.872 -0500,2019-12-10 20:40:57.123 -0500,25,3.26692,0,0,19.79,0,0,2019-12-10 20:59:03.121 -0500,370973.719396,0,3.065094,98.9628,10.0.0.93,100.72.88.128,5,1,0.04,-34.92677,-38.26669,0
2019-12-10 20:59:04.900 -0500,8,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1576029543.642889,40.44686731256244,-79.94820540610004,281.5548,-1,-1,10,65,-9999,1576029544.849273,1.624755859375,-28.89470863342285,-28.71508026123047,184.1759185791016,193.4306182861328,15,370976.8032381667,-0.1802215576171875,-0.4598541259765625,-0.8095245361328125,370976.8019881667,-0.1032318470186325,-0.2990961599173821,-0.2983281042590033,370976.7686011667,-300.1929321289062,15.665283203125,-52.5875244140625,370976.7456431667,1.304298138347731,-0.07104342773268846,0.4345680983982899,1.237583518028259,-0.6509012579917908,-0.1799210458993912,0.07598254084587097,-0.05850422382354736,0.08149123191833496,XArbitraryCorrectedZVertical,0.1922762095928192,0.103188693523407,0.5861668586730957,0.7802501916885376,-0.06438589096069336,-0.4210186898708344,-0.9047638773918152,1.624755859375,-28.89470863342285,-28.71508026123047,2,370972.75897675,walking,1,2019-12-10 20:59:00.872 -0500,2019-12-10 20:40:57.123 -0500,25,3.26692,0,0,19.79,0,0,2019-12-10 20:59:03.121 -0500,370973.719396,0,3.065094,98.9628,10.0.0.93,100.72.88.128,5,1,0.04,-34.92677,-39.93798,0
2019-12-10 20:59:04.941 -0500,9,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1576029543.642889,40.44686731256244,-79.94820540610004,281.5548,-1,-1,10,65,-9999,1576029544.90056,1.12408447265625,-29.70674133300781,-27.57341766357422,184.9304656982422,194.1851654052734,15,370976.8370631667,-0.179107666015625,-0.4228363037109375,-0.933746337890625,370976.8358131667,-0.01826768718128953,0.3881541309823949,-0.1108151982226331,370976.8274811667,-300.1353454589844,16.0889892578125,-52.97407531738281,370976.7456431667,1.304298138347731,-0.07104342773268846,0.4345680983982899,1.237583518028259,-0.6509012579917908,-0.1799210458993912,0.07598254084587097,-0.05850422382354736,0.08149123191833496,XArbitraryCorrectedZVertical,0.1922762095928192,0.103188693523407,0.5861668586730957,0.7802501916885376,-0.06438589096069336,-0.4210186898708344,-0.9047638773918152,1.624755859375,-28.89470863342285,-28.71508026123047,2,370972.75897675,walking,1,2019-12-10 20:59:00.872 -0500,2019-12-10 20:40:57.123 -0500,25,3.26692,0,0,19.79,0,0,2019-12-10 20:59:03.121 -0500,370973.719396,0,3.065094,98.9628,10.0.0.93,100.72.88.128,5,1,0.04,-34.92677,-40.86341,0
2019-12-10 20:59:04.969 -0500,10,54F1975D-915E-406D-B08C-09A0652D45A1,tinder,1576029543.642889,40.44686731256244,-79.94820540610004,281.5548,-1,-1,10,65,-9999,1576029544.949677,1.564361572265625,-29.46562957763672,-27.38091659545898,185.5120391845703,194.7667388916016,15,370976.8708701667,-0.1219940185546875,-0.36749267578125,-0.8761444091796875,370976.8696201667,-0.1586724693274661,0.3688936173467239,-0.008394283755929759,370976.8274811667,-300.1353454589844,16.0889892578125,-52.97407531738281,370976.7456431667,1.304298138347731,-0.07104342773268846,0.4345680983982899,1.237583518028259,-0.6509012579917908,-0.1799210458993912,0.07598254084587097,-0.05850422382354736,0.08149123191833496,XArbitraryCorrectedZVertical,0.1922762095928192,0.103188693523407,0.5861668586730957,0.7802501916885376,-0.06438589096069336,-0.4210186898708344,-0.9047638773918152,1.624755859375,-28.89470863342285,-28.71508026123047,2,370972.75897675,walking,1,2019-12-10 20:59:00.872 -0500,2019-12-10 20:40:57.123 -0500,25,3.26692,0,0,19.79,0,0,2019-12-10 20:59:03.121 -0500,370973.719396,0,3.065094,98.9628,10.0.0.93,100.72.88.128,5,1,0.04,-34.92677,-42.68267,0
